Learning Rate: 0.0001, Batch Size: 64, Epochs: 50, Accuracy: 0.6252319563188445
Learning Rate: 0.0001, Batch Size: 128, Epochs: 10, Accuracy: 0.6265065734752527
Learning Rate: 0.0001, Batch Size: 128, Epochs: 20, Accuracy: 0.6280691939013044
Learning Rate: 0.0001, Batch Size: 128, Epochs: 30, Accuracy: 0.6299176333749545
Learning Rate: 0.0001, Batch Size: 128, Epochs: 40, Accuracy: 0.6321953176318547
Learning Rate: 0.0001, Batch Size: 128, Epochs: 50, Accuracy: 0.633862822050643
Learning Rate: 0.001, Batch Size: 4, Epochs: 10, Accuracy: 0.6299084866727838
Learning Rate: 0.001, Batch Size: 4, Epochs: 20, Accuracy: 0.6260568613047389
Learning Rate: 0.001, Batch Size: 4, Epochs: 30, Accuracy: 0.6223039955615158
Learning Rate: 0.001, Batch Size: 4, Epochs: 40, Accuracy: 0.6186461390776148
Learning Rate: 0.001, Batch Size: 4, Epochs: 50, Accuracy: 0.6150797290058113
Learning Rate: 0.001, Batch Size: 8, Epochs: 10, Accuracy: 0.6116013784419535
Learning Rate: 0.001, Batch Size: 8, Epochs: 20, Accuracy: 0.6082078656967264
Learning Rate: 0.001, Batch Size: 8, Epochs: 30, Accuracy: 0.6048961243429506
Learning Rate: 0.001, Batch Size: 8, Epochs: 40, Accuracy: 0.6016632339737885
Learning Rate: 0.001, Batch Size: 8, Epochs: 50, Accuracy: 0.5985064116133124
Learning Rate: 0.001, Batch Size: 32, Epochs: 10, Accuracy: 0.595423003726336
Learning Rate: 0.001, Batch Size: 32, Epochs: 20, Accuracy: 0.59241047877929
Learning Rate: 0.001, Batch Size: 32, Epochs: 30, Accuracy: 0.5894664203083132
Learning Rate: 0.001, Batch Size: 32, Epochs: 40, Accuracy: 0.5865885204546617
Learning Rate: 0.001, Batch Size: 32, Epochs: 50, Accuracy: 0.5837745739310914
Learning Rate: 0.001, Batch Size: 64, Epochs: 10, Accuracy: 0.581022472386061
Learning Rate: 0.001, Batch Size: 64, Epochs: 20, Accuracy: 0.578330199135488
Learning Rate: 0.001, Batch Size: 64, Epochs: 30, Accuracy: 0.5756958242343895
Learning Rate: 0.001, Batch Size: 64, Epochs: 40, Accuracy: 0.5731174998631017
Learning Rate: 0.001, Batch Size: 64, Epochs: 50, Accuracy: 0.5705934560048936
Learning Rate: 0.001, Batch Size: 128, Epochs: 10, Accuracy: 0.5681219963937315
Learning Rate: 0.001, Batch Size: 128, Epochs: 20, Accuracy: 0.5657014947126965
Learning Rate: 0.001, Batch Size: 128, Epochs: 30, Accuracy: 0.5633303910251519
Learning Rate: 0.001, Batch Size: 128, Epochs: 40, Accuracy: 0.5610071884222042
Learning Rate: 0.001, Batch Size: 128, Epochs: 50, Accuracy: 0.5587304498713156

Best result:
Learning Rate: 0.0001, Batch Size: 128, Epochs: 50, Accuracy: 0.6339
