2024-09-08 22:35:45,974 - INFO -                           ade
soc_code label data_type     
10007541 15    train       73
               val         19
10013993 18    train       13
               val          3
10014698 24    train        2
               val          1
10015919 10    train       54
               val         13
10017947 3     train      240
               val         60
10018065 1     train      523
               val        131
10019805 19    train       12
               val          3
10021428 13    train        3
               val          1
10021881 17    train        4
               val          1
10022117 9     train       28
               val          7
10022891 5     train       65
               val         17
10027433 6     train        5
               val          1
10028395 4     train      769
               val        193
10029104 21    val          1
10029205 2     train      229
               val         57
10037175 0     train      321
               val         80
10038359 16    train       40
               val         10
10038604 11    train       47
               val         12
10038738 8     train       73
               val         18
10040785 7     train      147
               val         37
10041244 14    train        6
               val          1
10047065 12    train       20
               val          5
2024-09-08 22:35:47,832 - INFO - Device used: cuda
2024-09-08 22:36:02,753 - INFO - No description - training_loss=0.500
2024-09-08 22:36:02,921 - INFO - No description - training_loss=0.453
2024-09-08 22:36:03,089 - INFO - No description - training_loss=0.567
2024-09-08 22:36:03,256 - INFO - No description - training_loss=0.523
2024-09-08 22:36:03,422 - INFO - No description - training_loss=0.533
2024-09-08 22:36:03,587 - INFO - No description - training_loss=0.479
2024-09-08 22:36:03,754 - INFO - No description - training_loss=0.827
2024-09-08 22:36:03,925 - INFO - No description - training_loss=0.494
2024-09-08 22:36:04,093 - INFO - No description - training_loss=0.399
2024-09-08 22:36:04,259 - INFO - No description - training_loss=0.409
2024-09-08 22:36:04,426 - INFO - No description - training_loss=0.392
2024-09-08 22:36:04,593 - INFO - No description - training_loss=0.363
2024-09-08 22:36:04,759 - INFO - No description - training_loss=0.503
2024-09-08 22:36:04,926 - INFO - No description - training_loss=0.412
2024-09-08 22:36:05,093 - INFO - No description - training_loss=0.416
2024-09-08 22:36:05,260 - INFO - No description - training_loss=0.332
2024-09-08 22:36:05,428 - INFO - No description - training_loss=0.361
2024-09-08 22:36:05,594 - INFO - No description - training_loss=0.219
2024-09-08 22:36:05,761 - INFO - No description - training_loss=0.385
2024-09-08 22:36:05,929 - INFO - No description - training_loss=0.473
2024-09-08 22:36:06,093 - INFO - No description - training_loss=0.411
2024-09-08 22:36:06,261 - INFO - No description - training_loss=0.554
2024-09-08 22:36:06,426 - INFO - No description - training_loss=0.404
2024-09-08 22:36:06,592 - INFO - No description - training_loss=0.311
2024-09-08 22:36:06,758 - INFO - No description - training_loss=0.403
2024-09-08 22:36:06,924 - INFO - No description - training_loss=0.482
2024-09-08 22:36:07,090 - INFO - No description - training_loss=0.292
2024-09-08 22:36:07,256 - INFO - No description - training_loss=0.331
2024-09-08 22:36:07,423 - INFO - No description - training_loss=0.300
2024-09-08 22:36:07,589 - INFO - No description - training_loss=0.383
2024-09-08 22:36:07,758 - INFO - No description - training_loss=0.480
2024-09-08 22:36:07,924 - INFO - No description - training_loss=0.361
2024-09-08 22:36:08,088 - INFO - No description - training_loss=0.326
