Seed	Label	Precision	Recall	F1
2	0	0.9630	0.9630	0.9630
2	1	0.9627	0.9847	0.9736
2	2	0.9815	0.9298	0.9550
4	0	0.8750	0.9506	0.9112
4	1	0.9677	0.9160	0.9412
4	2	0.9123	0.9123	0.9123
6	0	0.9186	0.9753	0.9461
6	1	0.9685	0.9389	0.9535
6	2	0.9643	0.9474	0.9558
8	0	0.9487	0.9136	0.9308
8	1	0.9478	0.9695	0.9585
8	2	0.9649	0.9649	0.9649
10	0	0.9157	0.9383	0.9268
10	1	0.9690	0.9542	0.9615
10	2	0.9649	0.9649	0.9649
12	0	0.9167	0.9506	0.9333
12	1	0.9389	0.9389	0.9389
12	2	0.9444	0.8947	0.9189
14	0	0.9294	0.9753	0.9518
14	1	0.9762	0.9389	0.9572
14	2	0.9483	0.9649	0.9565
16	0	0.9125	0.9012	0.9068
16	1	0.9449	0.9160	0.9302
16	2	0.8548	0.9298	0.8908
18	0	0.9250	0.9136	0.9193
18	1	0.9470	0.9542	0.9506
18	2	0.9123	0.9123	0.9123
20	0	0.9747	0.9506	0.9625
20	1	0.9281	0.9847	0.9556
20	2	0.9804	0.8772	0.9259
22	0	0.9620	0.9383	0.9500
22	1	0.9545	0.9618	0.9582
22	2	0.9483	0.9649	0.9565
24	0	0.9481	0.9012	0.9241
24	1	0.9683	0.9313	0.9494
24	2	0.8485	0.9825	0.9106
26	0	0.9506	0.9506	0.9506
26	1	0.9478	0.9695	0.9585
26	2	0.9630	0.9123	0.9369
28	0	0.9375	0.9259	0.9317
28	1	0.9542	0.9542	0.9542
28	2	0.9483	0.9649	0.9565
30	0	0.9390	0.9506	0.9448
30	1	0.9420	0.9924	0.9665
30	2	0.9592	0.8246	0.8868
32	0	0.9268	0.9383	0.9325
32	1	0.9542	0.9542	0.9542
32	2	0.9643	0.9474	0.9558
34	0	0.8764	0.9630	0.9176
34	1	0.9597	0.9084	0.9333
34	2	0.9286	0.9123	0.9204
36	0	0.9474	0.8889	0.9172
36	1	0.9462	0.9389	0.9425
36	2	0.8889	0.9825	0.9333
38	0	0.9048	0.9383	0.9212
38	1	0.9385	0.9313	0.9349
38	2	0.9455	0.9123	0.9286
40	0	0.9059	0.9506	0.9277
40	1	0.9618	0.9618	0.9618
40	2	1.0000	0.9298	0.9636
