2024-09-29 23:52:21,274 - INFO -                           ade
soc_code label data_type     
10007541 15    train       73
               val         19
10013993 18    train       13
               val          3
10014698 24    train        2
               val          1
10015919 10    train       54
               val         13
10017947 3     train      240
               val         60
10018065 1     train      523
               val        131
10019805 19    train       12
               val          3
10021428 13    train        3
               val          1
10021881 17    train        4
               val          1
10022117 9     train       28
               val          7
10022891 5     train       65
               val         17
10027433 6     train        5
               val          1
10028395 4     train      769
               val        193
10029104 21    val          1
10029205 2     train      229
               val         57
10037175 0     train      321
               val         80
10038359 16    train       40
               val         10
10038604 11    train       47
               val         12
10038738 8     train       73
               val         18
10040785 7     train      147
               val         37
10041244 14    train        6
               val          1
10047065 12    train       20
               val          5
2024-09-29 23:52:24,630 - INFO - Device used: cuda
2024-09-29 23:53:09,074 - INFO - No description - training_loss=0.500
2024-09-29 23:53:09,581 - INFO - No description - training_loss=0.453
2024-09-29 23:53:10,055 - INFO - No description - training_loss=0.567
2024-09-29 23:53:10,542 - INFO - No description - training_loss=0.523
2024-09-29 23:53:11,029 - INFO - No description - training_loss=0.533
2024-09-29 23:53:11,523 - INFO - No description - training_loss=0.479
2024-09-29 23:53:12,023 - INFO - No description - training_loss=0.827
2024-09-29 23:53:12,516 - INFO - No description - training_loss=0.494
2024-09-29 23:53:13,017 - INFO - No description - training_loss=0.399
2024-09-29 23:53:13,493 - INFO - No description - training_loss=0.409
2024-09-29 23:53:14,002 - INFO - No description - training_loss=0.392
2024-09-29 23:53:14,487 - INFO - No description - training_loss=0.363
2024-09-29 23:53:14,988 - INFO - No description - training_loss=0.503
2024-09-29 23:53:15,485 - INFO - No description - training_loss=0.412
2024-09-29 23:53:15,992 - INFO - No description - training_loss=0.416
2024-09-29 23:53:16,483 - INFO - No description - training_loss=0.332
2024-09-29 23:53:16,984 - INFO - No description - training_loss=0.361
2024-09-29 23:53:17,472 - INFO - No description - training_loss=0.219
2024-09-29 23:53:17,963 - INFO - No description - training_loss=0.385
2024-09-29 23:53:18,464 - INFO - No description - training_loss=0.473
2024-09-29 23:53:18,970 - INFO - No description - training_loss=0.411
2024-09-29 23:53:19,461 - INFO - No description - training_loss=0.554
2024-09-29 23:53:19,956 - INFO - No description - training_loss=0.404
2024-09-29 23:53:20,470 - INFO - No description - training_loss=0.311
2024-09-29 23:53:20,963 - INFO - No description - training_loss=0.403
2024-09-29 23:53:21,481 - INFO - No description - training_loss=0.482
2024-09-29 23:53:21,965 - INFO - No description - training_loss=0.292
2024-09-29 23:53:22,476 - INFO - No description - training_loss=0.331
2024-09-29 23:53:22,957 - INFO - No description - training_loss=0.300
2024-09-29 23:53:23,460 - INFO - No description - training_loss=0.383
2024-09-29 23:53:23,966 - INFO - No description - training_loss=0.480
2024-09-29 23:53:24,489 - INFO - No description - training_loss=0.361
2024-09-29 23:53:24,994 - INFO - No description - training_loss=0.326
2024-09-29 23:53:25,522 - INFO - No description - training_loss=0.171
2024-09-29 23:53:26,007 - INFO - No description - training_loss=0.440
2024-09-29 23:53:26,513 - INFO - No description - training_loss=0.284
2024-09-29 23:53:26,993 - INFO - No description - training_loss=0.240
2024-09-29 23:53:27,516 - INFO - No description - training_loss=0.483
2024-09-29 23:53:28,040 - INFO - No description - training_loss=0.535
2024-09-29 23:53:28,543 - INFO - No description - training_loss=0.269
2024-09-29 23:53:29,037 - INFO - No description - training_loss=0.376
2024-09-29 23:53:29,535 - INFO - No description - training_loss=0.384
2024-09-29 23:53:30,025 - INFO - No description - training_loss=0.265
2024-09-29 23:53:30,517 - INFO - No description - training_loss=0.327
2024-09-29 23:53:30,995 - INFO - No description - training_loss=0.459
2024-09-29 23:53:31,511 - INFO - No description - training_loss=0.509
2024-09-29 23:53:32,017 - INFO - No description - training_loss=0.271
2024-09-29 23:53:32,529 - INFO - No description - training_loss=0.429
2024-09-29 23:53:33,044 - INFO - No description - training_loss=0.404
2024-09-29 23:53:33,566 - INFO - No description - training_loss=0.330
2024-09-29 23:53:34,071 - INFO - No description - training_loss=0.548
2024-09-29 23:53:34,582 - INFO - No description - training_loss=0.279
2024-09-29 23:53:35,081 - INFO - No description - training_loss=0.274
2024-09-29 23:53:35,574 - INFO - No description - training_loss=0.498
2024-09-29 23:53:36,068 - INFO - No description - training_loss=0.327
2024-09-29 23:53:36,562 - INFO - No description - training_loss=0.356
2024-09-29 23:53:37,041 - INFO - No description - training_loss=0.399
2024-09-29 23:53:37,547 - INFO - No description - training_loss=0.318
2024-09-29 23:53:38,049 - INFO - No description - training_loss=0.462
2024-09-29 23:53:38,540 - INFO - No description - training_loss=0.273
2024-09-29 23:53:39,032 - INFO - No description - training_loss=0.546
2024-09-29 23:53:39,528 - INFO - No description - training_loss=0.269
2024-09-29 23:53:40,030 - INFO - No description - training_loss=0.218
2024-09-29 23:53:40,528 - INFO - No description - training_loss=0.363
2024-09-29 23:53:41,029 - INFO - No description - training_loss=0.394
2024-09-29 23:53:41,535 - INFO - No description - training_loss=0.377
2024-09-29 23:53:42,045 - INFO - No description - training_loss=0.350
