Label	Seed	Accuracy
0	Seed_1	0.8473
0	Seed_2	0.8931
0	Seed_3	0.8931
0	Seed_4	0.8779
0	Seed_5	0.8626
0	Seed_6	0.8931
0	Seed_7	0.8244
0	Seed_8	0.8855
0	Seed_9	0.8702
0	Seed_10	0.9008
0	Seed_11	0.9008
0	Seed_12	0.8855
0	Seed_13	0.9008
0	Seed_14	0.8779
0	Seed_15	0.9084
0	Seed_16	0.8626
0	Seed_17	0.9084
0	Seed_18	0.9008
0	Seed_19	0.9008
0	Seed_20	0.8779
1	Seed_1	0.9000
1	Seed_2	0.9625
1	Seed_3	0.8500
1	Seed_4	0.9375
1	Seed_5	0.9500
1	Seed_6	0.9125
1	Seed_7	0.9375
1	Seed_8	0.8750
1	Seed_9	0.9375
1	Seed_10	0.9375
1	Seed_11	0.9125
1	Seed_12	0.9250
1	Seed_13	0.9000
1	Seed_14	0.9000
1	Seed_15	0.9500
1	Seed_16	0.8500
1	Seed_17	0.9250
1	Seed_18	0.8875
1	Seed_19	0.9250
1	Seed_20	0.9125
2	Seed_1	0.9474
2	Seed_2	0.8772
2	Seed_3	0.8772
2	Seed_4	0.8772
2	Seed_5	0.8947
2	Seed_6	0.8421
2	Seed_7	0.8421
2	Seed_8	0.7719
2	Seed_9	0.8596
2	Seed_10	0.8421
2	Seed_11	0.7895
2	Seed_12	0.9298
2	Seed_13	0.8421
2	Seed_14	0.8947
2	Seed_15	0.8246
2	Seed_16	0.8772
2	Seed_17	0.8246
2	Seed_18	0.9474
2	Seed_19	0.8772
2	Seed_20	0.8421
3	Seed_1	1.0000
3	Seed_2	1.0000
3	Seed_3	1.0000
3	Seed_4	1.0000
3	Seed_5	0.8235
3	Seed_6	0.7647
3	Seed_7	0.9412
3	Seed_8	1.0000
3	Seed_9	1.0000
3	Seed_10	0.9412
3	Seed_11	1.0000
3	Seed_12	0.8824
3	Seed_13	1.0000
3	Seed_14	1.0000
3	Seed_15	0.9412
3	Seed_16	0.9412
3	Seed_17	0.9412
3	Seed_18	1.0000
3	Seed_19	1.0000
3	Seed_20	0.9412
4	Seed_1	0.9896
4	Seed_2	0.9688
4	Seed_3	0.9583
4	Seed_4	0.9531
4	Seed_5	0.9635
4	Seed_6	0.9531
4	Seed_7	0.9688
4	Seed_8	0.9635
4	Seed_9	0.9583
4	Seed_10	0.9375
4	Seed_11	0.9323
4	Seed_12	0.9635
4	Seed_13	0.9479
4	Seed_14	0.9427
4	Seed_15	0.9844
4	Seed_16	0.9635
4	Seed_17	0.9635
4	Seed_18	0.9375
4	Seed_19	0.9583
4	Seed_20	0.9792
5	Seed_1	0.9000
5	Seed_2	0.8333
5	Seed_3	0.8833
5	Seed_4	0.8833
5	Seed_5	0.9000
5	Seed_6	0.8667
5	Seed_7	0.8667
5	Seed_8	0.9500
5	Seed_9	0.9000
5	Seed_10	0.8167
5	Seed_11	0.8833
5	Seed_12	0.9000
5	Seed_13	0.9000
5	Seed_14	0.8500
5	Seed_15	0.9000
5	Seed_16	0.9333
5	Seed_17	0.8167
5	Seed_18	0.8333
5	Seed_19	0.8500
5	Seed_20	0.8667

Label	Average Accuracy	Standard Deviation
0	0.8836	0.0212
1	0.9144	0.0304
2	0.8640	0.0450
3	0.9559	0.0641
4	0.9594	0.0148
5	0.8767	0.0351
