Seed	Label	Precision	Recall	F1
38	17	0.0000	0.0000	0.0000
38	18	0.0000	0.0000	0.0000
38	19	1.0000	1.0000	1.0000
38	20	0.0000	0.0000	0.0000
38	21	0.0000	0.0000	0.0000
38	22	0.0000	0.0000	0.0000
38	23	0.0000	0.0000	0.0000
38	24	0.0000	0.0000	0.0000
40	0	0.7119	0.7241	0.7179
40	1	0.6667	0.6383	0.6522
40	2	0.5745	0.6429	0.6067
40	3	0.6364	0.5385	0.5833
40	4	0.8333	0.8333	0.8333
40	5	0.7857	1.0000	0.8800
40	6	0.7500	0.6000	0.6667
40	7	0.4286	0.5000	0.4615
40	8	1.0000	0.7500	0.8571
40	9	0.5000	0.6667	0.5714
40	10	0.6667	0.6667	0.6667
40	11	0.3333	0.5000	0.4000
40	12	0.0000	0.0000	0.0000
40	13	0.6667	1.0000	0.8000
40	14	0.0000	0.0000	0.0000
40	15	1.0000	1.0000	1.0000
40	16	0.5000	1.0000	0.6667
40	17	0.0000	0.0000	0.0000
40	18	0.0000	0.0000	0.0000
40	19	1.0000	1.0000	1.0000
40	20	0.0000	0.0000	0.0000
40	21	0.0000	0.0000	0.0000
40	22	0.0000	0.0000	0.0000
40	23	0.0000	0.0000	0.0000
40	24	0.0000	0.0000	0.0000
