2024-10-01 00:49:44,236 - INFO -                           ade
soc_code label data_type     
10007541 15    train        6
               val          1
10010331 23    val          1
10013993 18    train        3
               val          1
10014698 24    val          1
10015919 10    train       13
               val          3
10017947 3     train       50
               val         13
10018065 1     train      188
               val         47
10019805 19    train        1
               val          1
10021428 13    train        6
               val          2
10021881 17    train        4
               val          1
10022117 9     train       13
               val          3
10022891 5     train       43
               val         11
10027433 6     train       38
               val         10
10028395 4     train       46
               val         12
10029104 21    train        1
               val          1
10029205 2     train      170
               val         42
10037175 0     train      229
               val         58
10038359 16    train        5
               val          1
10038604 11    train        8
               val          2
10038738 8     train       18
               val          4
10040785 7     train       22
               val          6
10041244 14    train        6
               val          1
10042613 20    train        1
               val          1
10047065 12    train        8
               val          2
10077536 22    val          1
2024-10-01 00:49:47,396 - INFO - Device used: cuda
2024-10-01 00:50:28,975 - INFO - No description - training_loss=0.545
2024-10-01 00:50:29,475 - INFO - No description - training_loss=0.525
2024-10-01 00:50:29,928 - INFO - No description - training_loss=0.453
2024-10-01 00:50:30,412 - INFO - No description - training_loss=0.473
2024-10-01 00:50:30,928 - INFO - No description - training_loss=0.680
2024-10-01 00:50:31,412 - INFO - No description - training_loss=0.463
2024-10-01 00:50:31,896 - INFO - No description - training_loss=0.485
2024-10-01 00:50:32,365 - INFO - No description - training_loss=0.424
2024-10-01 00:50:32,865 - INFO - No description - training_loss=0.609
2024-10-01 00:50:33,334 - INFO - No description - training_loss=0.620
2024-10-01 00:50:33,833 - INFO - No description - training_loss=0.524
2024-10-01 00:50:34,318 - INFO - No description - training_loss=0.463
2024-10-01 00:50:34,802 - INFO - No description - training_loss=0.602
2024-10-01 00:50:35,286 - INFO - No description - training_loss=0.448
2024-10-01 00:50:35,755 - INFO - No description - training_loss=0.499
2024-10-01 00:50:36,251 - INFO - No description - training_loss=0.501
2024-10-01 00:50:36,736 - INFO - No description - training_loss=0.366
2024-10-01 00:50:37,236 - INFO - No description - training_loss=0.539
2024-10-01 00:50:37,751 - INFO - No description - training_loss=0.492
2024-10-01 00:50:38,220 - INFO - No description - training_loss=0.674
2024-10-01 00:50:38,704 - INFO - No description - training_loss=0.431
2024-10-01 00:50:39,204 - INFO - No description - training_loss=0.694
2024-10-01 00:50:39,704 - INFO - No description - training_loss=0.510
2024-10-01 00:50:40,157 - INFO - No description - training_loss=0.472
2024-10-01 00:50:40,641 - INFO - No description - training_loss=0.434
2024-10-01 00:50:41,125 - INFO - No description - training_loss=0.305
2024-10-01 00:50:41,594 - INFO - No description - training_loss=0.453
2024-10-01 00:50:41,594 - INFO - 
2024-10-01 00:50:41,609 - INFO - 
Epoch 2
2024-10-01 00:50:41,609 - INFO - Training loss: 1.6103448542681607
2024-10-01 00:50:41,609 - INFO - No description - None
2024-10-01 00:50:42,094 - INFO - No description - training_loss=0.631
2024-10-01 00:50:42,578 - INFO - No description - training_loss=0.383
2024-10-01 00:50:43,062 - INFO - No description - training_loss=0.314
2024-10-01 00:50:43,546 - INFO - No description - training_loss=0.419
2024-10-01 00:50:44,031 - INFO - No description - training_loss=0.289
2024-10-01 00:50:44,531 - INFO - No description - training_loss=0.350
2024-10-01 00:50:45,015 - INFO - No description - training_loss=0.306
2024-10-01 00:50:45,499 - INFO - No description - training_loss=0.397
2024-10-01 00:50:45,983 - INFO - No description - training_loss=0.258
2024-10-01 00:50:46,478 - INFO - No description - training_loss=0.456
2024-10-01 00:50:46,978 - INFO - No description - training_loss=0.222
2024-10-01 00:50:47,462 - INFO - No description - training_loss=0.174
2024-10-01 00:50:47,962 - INFO - No description - training_loss=0.340
2024-10-01 00:50:48,447 - INFO - No description - training_loss=0.367
2024-10-01 00:50:48,962 - INFO - No description - training_loss=0.255
2024-10-01 00:50:49,446 - INFO - No description - training_loss=0.394
2024-10-01 00:50:49,931 - INFO - No description - training_loss=0.421
2024-10-01 00:50:50,415 - INFO - No description - training_loss=0.388
2024-10-01 00:50:50,899 - INFO - No description - training_loss=0.291
2024-10-01 00:50:51,383 - INFO - No description - training_loss=0.426
2024-10-01 00:50:51,899 - INFO - No description - training_loss=0.267
2024-10-01 00:50:52,368 - INFO - No description - training_loss=0.403
2024-10-01 00:50:52,852 - INFO - No description - training_loss=0.139
2024-10-01 00:50:53,320 - INFO - No description - training_loss=0.419
2024-10-01 00:50:53,805 - INFO - No description - training_loss=0.371
2024-10-01 00:50:54,289 - INFO - No description - training_loss=0.238
2024-10-01 00:50:54,773 - INFO - No description - training_loss=0.252
2024-10-01 00:50:55,257 - INFO - No description - training_loss=0.412
2024-10-01 00:50:55,773 - INFO - No description - training_loss=0.391
2024-10-01 00:50:56,273 - INFO - No description - training_loss=0.239
2024-10-01 00:50:56,754 - INFO - No description - training_loss=0.299
2024-10-01 00:50:57,223 - INFO - No description - training_loss=0.498
2024-10-01 00:50:57,738 - INFO - No description - training_loss=0.235
2024-10-01 00:50:58,238 - INFO - No description - training_loss=0.426
2024-10-01 00:50:58,754 - INFO - No description - training_loss=0.194
2024-10-01 00:50:59,254 - INFO - No description - training_loss=0.120
2024-10-01 00:50:59,754 - INFO - No description - training_loss=0.314
2024-10-01 00:51:00,253 - INFO - No description - training_loss=0.395
2024-10-01 00:51:00,738 - INFO - No description - training_loss=0.372
2024-10-01 00:51:01,222 - INFO - No description - training_loss=0.174
2024-10-01 00:51:01,675 - INFO - No description - training_loss=0.381
2024-10-01 00:51:02,144 - INFO - No description - training_loss=0.277
2024-10-01 00:51:02,628 - INFO - No description - training_loss=0.337
2024-10-01 00:51:03,128 - INFO - No description - training_loss=0.329
2024-10-01 00:51:03,612 - INFO - No description - training_loss=0.450
2024-10-01 00:51:04,096 - INFO - No description - training_loss=0.476
2024-10-01 00:51:04,581 - INFO - No description - training_loss=0.176
2024-10-01 00:51:05,080 - INFO - No description - training_loss=0.358
2024-10-01 00:51:05,580 - INFO - No description - training_loss=0.386
2024-10-01 00:51:06,080 - INFO - No description - training_loss=0.185
2024-10-01 00:51:06,580 - INFO - No description - training_loss=0.214
2024-10-01 00:51:07,062 - INFO - No description - training_loss=0.389
2024-10-01 00:51:07,530 - INFO - No description - training_loss=0.200
2024-10-01 00:51:08,030 - INFO - No description - training_loss=0.400
2024-10-01 00:51:08,530 - INFO - No description - training_loss=0.122
2024-10-01 00:51:08,530 - INFO - 
2024-10-01 00:51:08,530 - INFO - 
Epoch 3
2024-10-01 00:51:08,530 - INFO - Training loss: 0.9772123092954809
2024-10-01 00:51:08,530 - INFO - No description - None
2024-10-01 00:51:08,999 - INFO - No description - training_loss=0.203
2024-10-01 00:51:09,483 - INFO - No description - training_loss=0.178
2024-10-01 00:51:09,983 - INFO - No description - training_loss=0.286
2024-10-01 00:51:10,498 - INFO - No description - training_loss=0.191
2024-10-01 00:51:10,983 - INFO - No description - training_loss=0.077
2024-10-01 00:51:11,451 - INFO - No description - training_loss=0.213
2024-10-01 00:51:11,936 - INFO - No description - training_loss=0.152
2024-10-01 00:51:12,420 - INFO - No description - training_loss=0.227
2024-10-01 00:51:12,904 - INFO - No description - training_loss=0.084
2024-10-01 00:51:13,420 - INFO - No description - training_loss=0.290
2024-10-01 00:51:13,919 - INFO - No description - training_loss=0.210
2024-10-01 00:51:14,404 - INFO - No description - training_loss=0.116
2024-10-01 00:51:14,904 - INFO - No description - training_loss=0.111
2024-10-01 00:51:15,403 - INFO - No description - training_loss=0.193
2024-10-01 00:51:15,872 - INFO - No description - training_loss=0.130
2024-10-01 00:51:16,356 - INFO - No description - training_loss=0.179
2024-10-01 00:51:16,856 - INFO - No description - training_loss=0.244
2024-10-01 00:51:17,330 - INFO - No description - training_loss=0.266
2024-10-01 00:51:17,846 - INFO - No description - training_loss=0.145
2024-10-01 00:51:18,330 - INFO - No description - training_loss=0.250
2024-10-01 00:51:18,814 - INFO - No description - training_loss=0.267
2024-10-01 00:51:19,314 - INFO - No description - training_loss=0.265
2024-10-01 00:51:19,799 - INFO - No description - training_loss=0.216
2024-10-01 00:51:20,314 - INFO - No description - training_loss=0.081
2024-10-01 00:51:20,798 - INFO - No description - training_loss=0.153
2024-10-01 00:51:21,298 - INFO - No description - training_loss=0.084
2024-10-01 00:51:21,767 - INFO - No description - training_loss=0.259
2024-10-01 00:51:22,251 - INFO - No description - training_loss=0.166
2024-10-01 00:51:22,720 - INFO - No description - training_loss=0.071
2024-10-01 00:51:23,235 - INFO - No description - training_loss=0.080
2024-10-01 00:51:23,735 - INFO - No description - training_loss=0.117
2024-10-01 00:51:24,235 - INFO - No description - training_loss=0.109
2024-10-01 00:51:24,719 - INFO - No description - training_loss=0.315
2024-10-01 00:51:25,203 - INFO - No description - training_loss=0.085
2024-10-01 00:51:25,719 - INFO - No description - training_loss=0.387
2024-10-01 00:51:26,203 - INFO - No description - training_loss=0.241
2024-10-01 00:51:26,672 - INFO - No description - training_loss=0.265
2024-10-01 00:51:27,182 - INFO - No description - training_loss=0.292
2024-10-01 00:51:27,644 - INFO - No description - training_loss=0.099
2024-10-01 00:51:28,144 - INFO - No description - training_loss=0.244
2024-10-01 00:51:28,644 - INFO - No description - training_loss=0.148
2024-10-01 00:51:29,144 - INFO - No description - training_loss=0.135
2024-10-01 00:51:29,628 - INFO - No description - training_loss=0.126
2024-10-01 00:51:30,128 - INFO - No description - training_loss=0.240
2024-10-01 00:51:30,628 - INFO - No description - training_loss=0.345
2024-10-01 00:51:31,128 - INFO - No description - training_loss=0.197
2024-10-01 00:51:31,596 - INFO - No description - training_loss=0.118
2024-10-01 00:51:32,112 - INFO - No description - training_loss=0.195
2024-10-01 00:51:32,596 - INFO - No description - training_loss=0.328
2024-10-01 00:51:33,096 - INFO - No description - training_loss=0.153
2024-10-01 00:51:33,565 - INFO - No description - training_loss=0.165
2024-10-01 00:51:34,064 - INFO - No description - training_loss=0.216
2024-10-01 00:51:34,549 - INFO - No description - training_loss=0.311
2024-10-01 00:51:35,049 - INFO - No description - training_loss=0.323
2024-10-01 00:51:35,549 - INFO - No description - training_loss=0.195
2024-10-01 00:51:35,549 - INFO - 
2024-10-01 00:51:35,549 - INFO - 
Epoch 4
2024-10-01 00:51:35,549 - INFO - Training loss: 0.5857220189137893
2024-10-01 00:51:35,549 - INFO - No description - None
2024-10-01 00:51:36,033 - INFO - No description - training_loss=0.077
2024-10-01 00:51:36,533 - INFO - No description - training_loss=0.150
2024-10-01 00:51:37,017 - INFO - No description - training_loss=0.047
2024-10-01 00:51:37,531 - INFO - No description - training_loss=0.119
2024-10-01 00:51:38,031 - INFO - No description - training_loss=0.133
2024-10-01 00:51:38,516 - INFO - No description - training_loss=0.089
2024-10-01 00:51:39,015 - INFO - No description - training_loss=0.211
2024-10-01 00:51:39,484 - INFO - No description - training_loss=0.054
2024-10-01 00:51:39,968 - INFO - No description - training_loss=0.105
2024-10-01 00:51:40,453 - INFO - No description - training_loss=0.134
2024-10-01 00:51:40,952 - INFO - No description - training_loss=0.176
2024-10-01 00:51:41,437 - INFO - No description - training_loss=0.033
2024-10-01 00:51:41,921 - INFO - No description - training_loss=0.089
2024-10-01 00:51:42,405 - INFO - No description - training_loss=0.153
2024-10-01 00:51:42,921 - INFO - No description - training_loss=0.134
2024-10-01 00:51:43,421 - INFO - No description - training_loss=0.063
2024-10-01 00:51:43,920 - INFO - No description - training_loss=0.038
2024-10-01 00:51:44,436 - INFO - No description - training_loss=0.199
2024-10-01 00:51:44,936 - INFO - No description - training_loss=0.132
2024-10-01 00:51:45,436 - INFO - No description - training_loss=0.072
2024-10-01 00:51:45,936 - INFO - No description - training_loss=0.253
2024-10-01 00:51:46,435 - INFO - No description - training_loss=0.154
2024-10-01 00:51:46,935 - INFO - No description - training_loss=0.069
2024-10-01 00:51:47,451 - INFO - No description - training_loss=0.140
2024-10-01 00:51:47,951 - INFO - No description - training_loss=0.045
2024-10-01 00:51:48,460 - INFO - No description - training_loss=0.112
2024-10-01 00:51:48,976 - INFO - No description - training_loss=0.218
2024-10-01 00:51:49,507 - INFO - No description - training_loss=0.076
2024-10-01 00:51:50,023 - INFO - No description - training_loss=0.150
2024-10-01 00:51:50,522 - INFO - No description - training_loss=0.153
2024-10-01 00:51:51,022 - INFO - No description - training_loss=0.055
2024-10-01 00:51:51,522 - INFO - No description - training_loss=0.093
2024-10-01 00:51:52,038 - INFO - No description - training_loss=0.151
2024-10-01 00:51:52,538 - INFO - No description - training_loss=0.172
2024-10-01 00:51:53,037 - INFO - No description - training_loss=0.243
2024-10-01 00:51:53,537 - INFO - No description - training_loss=0.106
2024-10-01 00:51:54,053 - INFO - No description - training_loss=0.167
2024-10-01 00:51:54,553 - INFO - No description - training_loss=0.167
2024-10-01 00:51:55,053 - INFO - No description - training_loss=0.032
2024-10-01 00:51:55,552 - INFO - No description - training_loss=0.259
2024-10-01 00:51:56,068 - INFO - No description - training_loss=0.062
2024-10-01 00:51:56,583 - INFO - No description - training_loss=0.045
2024-10-01 00:51:57,068 - INFO - No description - training_loss=0.089
2024-10-01 00:51:57,583 - INFO - No description - training_loss=0.141
2024-10-01 00:51:58,083 - INFO - No description - training_loss=0.105
2024-10-01 00:51:58,600 - INFO - No description - training_loss=0.069
2024-10-01 00:51:59,125 - INFO - No description - training_loss=0.099
2024-10-01 00:51:59,640 - INFO - No description - training_loss=0.171
2024-10-01 00:52:00,156 - INFO - No description - training_loss=0.108
2024-10-01 00:52:00,671 - INFO - No description - training_loss=0.061
2024-10-01 00:52:01,171 - INFO - No description - training_loss=0.329
2024-10-01 00:52:01,687 - INFO - No description - training_loss=0.167
2024-10-01 00:52:02,186 - INFO - No description - training_loss=0.155
2024-10-01 00:52:02,686 - INFO - No description - training_loss=0.083
2024-10-01 00:52:03,202 - INFO - No description - training_loss=0.116
2024-10-01 00:52:03,202 - INFO - 
2024-10-01 00:52:03,202 - INFO - 
Epoch 5
2024-10-01 00:52:03,202 - INFO - Training loss: 0.3721545996991071
2024-10-01 00:52:03,202 - INFO - No description - None
2024-10-01 00:52:03,702 - INFO - No description - training_loss=0.036
2024-10-01 00:52:04,186 - INFO - No description - training_loss=0.249
2024-10-01 00:52:04,701 - INFO - No description - training_loss=0.092
2024-10-01 00:52:05,170 - INFO - No description - training_loss=0.069
2024-10-01 00:52:05,639 - INFO - No description - training_loss=0.061
2024-10-01 00:52:06,123 - INFO - No description - training_loss=0.099
2024-10-01 00:52:06,607 - INFO - No description - training_loss=0.014
2024-10-01 00:52:07,107 - INFO - No description - training_loss=0.032
2024-10-01 00:52:07,591 - INFO - No description - training_loss=0.038
2024-10-01 00:52:08,076 - INFO - No description - training_loss=0.077
2024-10-01 00:52:08,560 - INFO - No description - training_loss=0.114
2024-10-01 00:52:09,060 - INFO - No description - training_loss=0.034
2024-10-01 00:52:09,560 - INFO - No description - training_loss=0.079
2024-10-01 00:52:10,060 - INFO - No description - training_loss=0.053
2024-10-01 00:52:10,559 - INFO - No description - training_loss=0.110
2024-10-01 00:52:11,044 - INFO - No description - training_loss=0.010
2024-10-01 00:52:11,512 - INFO - No description - training_loss=0.077
2024-10-01 00:52:11,997 - INFO - No description - training_loss=0.071
2024-10-01 00:52:12,481 - INFO - No description - training_loss=0.110
2024-10-01 00:52:12,981 - INFO - No description - training_loss=0.180
2024-10-01 00:52:13,473 - INFO - No description - training_loss=0.271
2024-10-01 00:52:13,957 - INFO - No description - training_loss=0.097
2024-10-01 00:52:14,457 - INFO - No description - training_loss=0.167
2024-10-01 00:52:14,941 - INFO - No description - training_loss=0.052
2024-10-01 00:52:15,441 - INFO - No description - training_loss=0.043
2024-10-01 00:52:15,957 - INFO - No description - training_loss=0.144
2024-10-01 00:52:16,441 - INFO - No description - training_loss=0.021
2024-10-01 00:52:16,941 - INFO - No description - training_loss=0.011
2024-10-01 00:52:17,441 - INFO - No description - training_loss=0.011
2024-10-01 00:52:17,925 - INFO - No description - training_loss=0.060
2024-10-01 00:52:18,425 - INFO - No description - training_loss=0.010
2024-10-01 00:52:18,925 - INFO - No description - training_loss=0.079
2024-10-01 00:52:19,424 - INFO - No description - training_loss=0.041
2024-10-01 00:52:19,909 - INFO - No description - training_loss=0.079
2024-10-01 00:52:20,409 - INFO - No description - training_loss=0.127
2024-10-01 00:52:20,893 - INFO - No description - training_loss=0.063
2024-10-01 00:52:21,377 - INFO - No description - training_loss=0.171
2024-10-01 00:52:21,861 - INFO - No description - training_loss=0.154
2024-10-01 00:52:22,361 - INFO - No description - training_loss=0.013
2024-10-01 00:52:22,861 - INFO - No description - training_loss=0.162
2024-10-01 00:52:23,345 - INFO - No description - training_loss=0.199
2024-10-01 00:52:23,845 - INFO - No description - training_loss=0.102
2024-10-01 00:52:24,329 - INFO - No description - training_loss=0.141
2024-10-01 00:52:24,814 - INFO - No description - training_loss=0.151
