Label	Seed	Accuracy
0	Seed_1	0.8280
0	Seed_2	0.8925
0	Seed_3	0.8280
0	Seed_4	0.8387
0	Seed_5	0.8710
0	Seed_6	0.8387
0	Seed_7	0.7957
0	Seed_8	0.8280
0	Seed_9	0.8817
0	Seed_10	0.7957
0	Seed_11	0.8495
0	Seed_12	0.8602
0	Seed_13	0.8495
0	Seed_14	0.8710
0	Seed_15	0.8817
0	Seed_16	0.7957
0	Seed_17	0.8387
0	Seed_18	0.8280
0	Seed_19	0.8710
0	Seed_20	0.9140
1	Seed_1	0.8452
1	Seed_2	0.8810
1	Seed_3	0.7857
1	Seed_4	0.8214
1	Seed_5	0.7500
1	Seed_6	0.8571
1	Seed_7	0.8690
1	Seed_8	0.7381
1	Seed_9	0.7976
1	Seed_10	0.8452
1	Seed_11	0.8452
1	Seed_12	0.8452
1	Seed_13	0.8929
1	Seed_14	0.7738
1	Seed_15	0.8333
1	Seed_16	0.8810
1	Seed_17	0.7738
1	Seed_18	0.8452
1	Seed_19	0.8571
1	Seed_20	0.8333
2	Seed_1	0.8571
2	Seed_2	0.8730
2	Seed_3	0.8254
2	Seed_4	0.8730
2	Seed_5	0.7619
2	Seed_6	0.8413
2	Seed_7	0.8254
2	Seed_8	0.7619
2	Seed_9	0.8095
2	Seed_10	0.8254
2	Seed_11	0.8095
2	Seed_12	0.7778
2	Seed_13	0.9365
2	Seed_14	0.8571
2	Seed_15	0.7619
2	Seed_16	0.7937
2	Seed_17	0.8730
2	Seed_18	0.8730
2	Seed_19	0.8413
2	Seed_20	0.7460

Label	Average Accuracy	Standard Deviation
0	0.8478	0.0319
1	0.8286	0.0433
2	0.8262	0.0480
